Latitude,Longitude,Ward,Street Name,Source_of_drinking,Processed_for_Drinking,Grey Water Discharge,Presence of Toilet
11.336076,77.537179,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336099,77.537835,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.335593,77.537432,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.335593,77.537289,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.335754,77.537769,12,Naduvalasu Nehru Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.333694,77.53525,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.335693,77.537473,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.335693,77.537473,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336156,77.537683,12,Naduvalasu Nehru Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336029,77.537326,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.337306,77.543156,12,Naduvalasu Cashier Veethi,Bore well,Nil,Directly to ground,Yes
11.356172,77.531663,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.346263,77.544566,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.343465,77.544208,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.349982,77.539177,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,No
11.349982,77.539177,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,No
11.353605,77.529159,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.35359,77.5288,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.347415,77.554346,2,JJ Nagar Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.343843,77.544924,2,Kothukara Veethi Thottapaguthigal,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342435,77.543069,3,Ricemill Puthur Thottapaguthigal,Panchayat water - Overhead tank,Nil,Farming/ Gardening,No
11.332306,77.543491,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.34649,77.549406,3,JJ Nagar,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.342435,77.543069,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.341422,77.53842,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.34159,77.538387,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.34155,77.538476,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.342012,77.5383,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.341914,77.537893,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.342059,77.54385,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342143,77.538038,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.34252,77.537877,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342147,77.537758,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342532,77.538097,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.341411,77.537962,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.341695,77.538131,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.341897,77.53655,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.351507,77.537042,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,No
11.343465,77.544208,5,Gandhi Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.34168,77.537613,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,No
11.351507,77.537042,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,No
11.343465,77.544208,5,Pattatharasiamman kovil street,Panchyat water - Piped,Nil,Directly to ground,No
11.343465,77.544208,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.343465,77.544208,5,Gandhi Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.342147,77.537758,5,Pattatharasiamman kovil street,Bore well,Boiling,Directly to soakpit/ sewage canal,Yes
11.343419,77.537001,6,Pillaiyarkovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.343281,77.537024,6,Pillaiyarkovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.34224,77.537117,6,Pillaiyarkovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.346476,77.549582,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343419,77.537001,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343281,77.537024,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.342482,77.5369,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342447,77.536944,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.343651,77.537053,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.343149,77.537065,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.344306,77.536576,7,Nallampatti Koththukkarar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343723,77.53639,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.344318,77.536911,7,Nallampatti Koththukkarar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340404,77.529517,8,Old Thasamputhur,Bore well,Nil,Farming/ Gardening,Yes
11.341161,77.53095,8,Old Thasamputhur,Bore well,Nil,Farming/ Gardening,Yes
11.341115,77.529875,8,Pappangkadu Veeramathi Veethi,Open well,Nil,Directly to ground,No
11.342073,77.527144,8,West Puthuthottam,Open well,Nil,Farming/ Gardening,Yes
11.341115,77.529875,8,Pappangkadu Veeramathi Veethi,Open well,Nil,Directly to ground,No
11.341161,77.53095,8,Pappangkadu Veeramathi Veethi,Open well,Boiling,Directly to ground,No
11.341746,77.533566,8,Pappangkadu Veeramathi Veethi,Open well,Nil,Directly to ground,No
11.342205,77.535989,8,Durgaiamman Kovil Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,No
11.341699,77.533449,8,Pappangkadu Veeramathi Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.341035,77.533678,8,Durgaiamman Kovil Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.341475,77.533537,8,Pappangkadu Veeramathi Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.341727,77.534455,8,Durgaiamman Kovil Veethi,Open well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.343847,77.52356,9,Aathikkattur Kamarajar Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.352737,77.516975,9,Masammavur Pomman Veethi,Open well,Nil,Farming/ Gardening,No
11.339476,77.526451,9,Thasamputhur Kotthukarar Veethi,Open well,Personal RO,Directly to ground,Yes
11.339476,77.526451,9,Thasamputhur Kotthukarar Veethi,Panchayat water - Overhead tank,Nil,Directly to ground,Yes
11.338861,77.526293,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.339476,77.526451,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.334138,77.513032,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,No
11.341761,77.520558,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.340543,77.526188,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.34044,77.525257,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.332991,77.518766,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.341478,77.530234,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.343381,77.523674,9,Aathikkattur Kamarajar Veethi,Bore well,Nil,Directly to ground,Yes
11.337213,77.519516,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.337304,77.519467,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342757,77.51918,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.339347,77.520713,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,No
11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Open well,Boiling,Directly to ground,No
11.335042,77.542417,10,Naduvalasu Kothukarar Veethi,Open well,Nil,Directly to ground,Yes
11.340941,77.53687,10,Annamaar Veethi Main Road,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.340274,77.542775,10,Annamaar Veethi Main Road,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Boiling,Directly to soakpit/ sewage canal,Yes
11.336705,77.540625,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336494,77.54385,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.340991,77.544314,11,Ricemill Puthur Colony,Panchayat water - Overhead tank,Nil,Directly to ground,No
11.343465,77.544208,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.339835,77.540625,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.341067,77.544816,11,Ricemill Puthur Colony,Panchyat water - Piped,Boiling,Directly to ground,No
11.337931,77.544924,11,Ricemill Puthur Colony,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,No
11.341257,77.544525,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.336489,77.537704,12,Naduvalasu Cashier Veethi,Bore well,Nil,Farming/ Gardening,Yes
11.328777,77.525934,12,Manakkattu Puthur Pillaiyarkovil veethi,Bore well,Nil,Farming/ Gardening,No
11.345536,77.54385,12,Ricemill Puthur Thottapaguthigal,Open well,Boiling,Farming/ Gardening,Yes
11.336489,77.537704,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.325656,77.550657,12,Manakkattu Puthur Pillaiyarkovil veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.332986,77.543133,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.33622,77.537484,12,Naduvalasu Nehru Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.33622,77.537484,12,Ricemill Puthur Thottapaguthigal,Bore well,Boiling,Directly to soakpit/ sewage canal,Yes
11.352378,77.539822,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.351507,77.537042,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.355676,77.5288,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Boiling,Directly to soakpit/ sewage canal,No
11.353605,77.529159,1,Kothukaraveethi Thotta paguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,No
11.355367,77.531452,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Nil,Directly to ground,Yes
11.351507,77.537042,1,Pillaiyarkovil Veethi Thotta paguthigal,Bore well,Boiling,Farming/ Gardening,Yes
11.353575,77.53091,1,Pillaiyarkovil Veethi Thotta paguthigal,Canned water,Nil,Directly to ground,Yes
11.349613,77.536541,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.341161,77.53095,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.351507,77.537042,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.350193,77.536488,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.352674,77.53957,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.344038,77.541342,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Boiling,Directly to soakpit/ sewage canal,Yes
11.350153,77.532963,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to soakpit/ sewage canal,No
11.353098,77.532373,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.357139,77.534437,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.36785,77.5288,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.341719,77.527725,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.353605,77.529159,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.332639,77.543133,1,Kothukaraveethi Thotta paguthigal,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.350859,77.538398,1,Pillaiyarkovil Veethi Thotta paguthigal,Panchayat water - Syntex tank,Nil,Directly to soakpit/ sewage canal,Yes
11.336796,77.542775,1,Pillaiyarkovil Veethi Thotta paguthigal,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.354868,77.531445,1,Kothukaraveethi Thotta paguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.360638,77.53095,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.3529,77.539515,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.359652,77.541873,2,Kothukara Veethi Thottapaguthigal,Panchyat water - Piped,Boiling,Directly to ground,No
11.345763,77.5505,2,JJ Nagar Thottapaguthigal,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.349438,77.545641,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.347392,77.554344,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.350681,77.538621,2,Kothukara Veethi Thottapaguthigal,Bore well,Boiling,Farming/ Gardening,No
11.352227,77.542945,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.351016,77.540262,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,No
11.348936,77.53641,2,Kothukara Veethi Thottapaguthigal,Bore well,Boiling,Directly to ground,Yes
11.348936,77.53641,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.348936,77.53641,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.357474,77.540497,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.345763,77.5505,2,JJ Nagar Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.359195,77.545075,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Farming/ Gardening,No
11.355468,77.539281,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.350558,77.542987,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.349924,77.539133,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,No
11.357278,77.525575,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.346534,77.552027,2,JJ Nagar Thottapaguthigal,Panchayat water - Overhead tank,Boiling,Farming/ Gardening,Yes
11.349872,77.538453,2,Kothukara Veethi Thottapaguthigal,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.343465,77.544208,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.346764,77.549677,3,JJ Nagar,Panchyat water - Piped,Nil,Directly to ground,Yes
11.336418,77.542058,3,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.342529,77.546716,3,JJ Nagar,Bore well,Nil,Directly to ground,Yes
11.342091,77.551372,3,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.339638,77.547848,3,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.34213,77.543306,3,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.341916,77.551519,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.336454,77.545976,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.338455,77.545757,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.336454,77.545976,3,Ricemill Puthur Thottapaguthigal,Open well,Boiling,Directly to ground,Yes
11.343465,77.544208,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.340404,77.529517,3,Ricemill Puthur Thottapaguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.332986,77.543133,3,Ricemill Puthur Thottapaguthigal,Open well,Boiling,Directly to ground,Yes
11.332986,77.543133,3,Ricemill Puthur Thottapaguthigal,Panchayat water - Overhead tank,Nil,Directly to ground,Yes
11.346608,77.54997,3,JJ Nagar,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.341763,77.553013,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.341763,77.553013,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.342952,77.543577,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Boiling,Farming/ Gardening,Yes
11.346484,77.549486,3,JJ Nagar,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.346707,77.549957,3,JJ Nagar,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.346095,77.540625,3,JJ Nagar,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.342952,77.543577,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.346476,77.549582,3,JJ Nagar,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.342952,77.543577,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.34644,77.549725,3,JJ Nagar,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.342952,77.543577,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.341632,77.537607,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342514,77.538252,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.342211,77.538069,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.341416,77.537704,4,Pattaththarasiamman Kovil Street,Open well,Personal RO,Directly to soakpit/ sewage canal,No
11.341385,77.537788,4,Pattaththarasiamman Kovil Street,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.341385,77.537788,4,Pattaththarasiamman Kovil Street,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,No
11.341988,77.538346,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.341331,77.537736,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,No
11.342755,77.537934,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.343813,77.544208,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.342219,77.538078,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
